Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,word_count
2023-01-31,Personal loan,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-02-01,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-02-02,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-02-03,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-02-04,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-02-05,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-02-06,Personal loan,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-02-07,Credit card,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-02-08,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-02-09,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2023-02-10,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-02-11,Credit card,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-02-12,Savings account,,Billing dispute,,this is a sample complaint narrative about service issues.,9
2023-02-13,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-02-14,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues.,9
2023-02-15,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-02-16,Savings account,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-02-17,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-02-18,Savings account,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-02-19,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-02-20,Credit card,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-02-21,Personal loan,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-02-22,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-02-23,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-02-24,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-02-25,Credit card,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-02-26,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-02-27,Personal loan,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-02-28,Savings account,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-03-01,Savings account,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-03-02,Savings account,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-03-03,Personal loan,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-03-04,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-03-05,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-03-06,Money transfers,,Transfer issues,,this is a sample complaint narrative about interest issues.,9
2023-03-07,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-03-08,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-03-09,Personal loan,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-03-10,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-03-11,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-03-12,Savings account,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-03-13,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-03-14,Money transfers,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-03-15,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-03-16,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-03-17,Personal loan,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-03-18,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-03-19,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-03-20,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-03-21,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-03-22,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues.,9
2023-03-23,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-03-24,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-03-25,Savings account,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-03-26,Personal loan,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-03-27,Money transfers,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-03-28,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-03-29,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-03-30,Personal loan,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-03-31,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-04-01,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-04-02,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-04-03,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-04-04,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-04-05,Savings account,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-04-06,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-04-07,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-04-08,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-04-09,Credit card,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-04-10,Money transfers,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-04-11,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-04-12,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-04-13,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-04-14,Credit card,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-04-15,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-04-16,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-04-17,Money transfers,,Account opening,,this is a sample complaint narrative about interest issues.,9
2023-04-18,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-04-19,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-04-20,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-04-21,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-04-22,Personal loan,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-04-23,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-04-24,Credit card,,Account opening,,this is a sample complaint narrative about interest issues.,9
2023-04-25,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-04-26,Money transfers,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-04-27,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-04-28,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-04-29,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-04-30,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues.,9
2023-05-01,Money transfers,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-05-02,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-05-03,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-05-04,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-05-05,Credit card,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-05-06,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-05-07,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-05-08,Personal loan,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-05-09,Credit card,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-05-10,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-05-11,Credit card,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-05-12,Credit card,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-05-13,Personal loan,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-05-14,Savings account,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-05-15,Credit card,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-05-16,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-05-17,Savings account,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-05-18,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-19,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-05-20,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-05-21,Money transfers,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-05-22,Personal loan,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-05-23,Savings account,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-24,Personal loan,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-25,Credit card,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-05-26,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-05-27,Credit card,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-28,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-05-29,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-30,Credit card,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-05-31,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-06-01,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-06-02,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-06-03,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-06-04,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-06-05,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-06-06,Personal loan,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-06-07,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-06-08,Savings account,,Transfer issues,,this is a sample complaint narrative about interest issues.,9
2023-06-09,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-06-10,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-06-11,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-06-12,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-06-13,Money transfers,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-06-14,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-06-15,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues.,9
2023-06-16,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-06-17,Credit card,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-06-18,Money transfers,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-06-19,Money transfers,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-06-20,Money transfers,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-06-21,Personal loan,,Transfer issues,,this is a sample complaint narrative about service issues.,9
2023-06-22,Credit card,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-06-23,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-06-24,Savings account,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-06-25,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues.,9
2023-06-26,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-06-27,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-06-28,Personal loan,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-06-29,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-06-30,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-07-01,Credit card,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-07-02,Money transfers,,Transfer issues,,this is a sample complaint narrative about service issues.,9
2023-07-03,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues.,9
2023-07-04,Credit card,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-07-05,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues.,9
2023-07-06,Money transfers,,Account opening,,this is a sample complaint narrative about service issues.,9
2023-07-07,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-07-08,Savings account,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-07-09,Savings account,,Transfer issues,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-07-10,Savings account,,Account opening,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-07-11,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-07-12,Savings account,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-07-13,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-07-14,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-07-15,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-07-16,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-07-17,Money transfers,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-07-18,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-07-19,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-07-20,Money transfers,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,27
2023-07-21,Savings account,,Interest rate,,this is a sample complaint narrative about billing issues.,9
2023-07-22,Personal loan,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-07-23,Savings account,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-07-24,Personal loan,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,27
2023-07-25,Money transfers,,Billing dispute,,this is a sample complaint narrative about billing issues.,9
2023-07-26,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-07-27,Credit card,,Account opening,,this is a sample complaint narrative about interest issues.,9
2023-07-28,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-07-29,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-07-30,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-07-31,Personal loan,,Billing dispute,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
